distance_regime,is_weekend,pickup_hour,trips,median_fixed_fees,median_tolls,median_fixed_fee_share,p90_toll_share
long,false,0,48430,1.3,0.0,0.052,0.103
long,false,1,32356,1.3,0.0,0.053,0.06
long,false,2,23144,1.3,0.0,0.054,0.0
long,false,3,18964,1.3,0.0,0.052,0.028
long,false,4,20635,1.3,0.0,0.049,0.187
long,false,5,23983,1.3,0.0,0.042,0.197
long,false,6,34268,0.8,0.0,0.026,0.19
long,false,7,44010,0.8,0.0,0.028,0.175
long,false,8,44205,0.8,0.0,0.029,0.169
long,false,9,42841,0.8,0.0,0.027,0.175
long,false,10,41843,0.8,0.0,0.027,0.181
long,false,11,41523,0.8,0.0,0.027,0.184
long,false,12,43815,0.8,0.0,0.026,0.184
long,false,13,47263,0.8,0.0,0.026,0.184
long,false,14,53597,0.8,0.0,0.024,0.182
long,false,15,52830,0.8,5.33,0.024,0.184
long,false,16,45680,1.8,5.33,0.051,0.185
long,false,17,46224,1.8,0.0,0.055,0.183
long,false,18,50733,1.8,0.0,0.06,0.184
long,false,19,55945,1.8,0.0,0.063,0.184
long,false,20,64280,1.3,0.0,0.05,0.184
long,false,21,73216,1.3,0.0,0.05,0.184
long,false,22,74532,1.3,0.0,0.051,0.175
long,false,23,69840,1.3,0.0,0.051,0.164
long,true,0,34757,1.3,0.0,0.052,0.103
long,true,1,31260,1.3,0.0,0.054,0.0
long,true,2,26912,1.3,0.0,0.055,0.0
long,true,3,22905,1.3,0.0,0.054,0.0
long,true,4,17655,1.3,0.0,0.053,0.103
long,true,5,10954,1.3,0.0,0.045,0.175
long,true,6,11205,0.8,0.0,0.024,0.181
long,true,7,10878,0.8,0.0,0.025,0.184
long,true,8,11708,0.8,0.0,0.027,0.187
long,true,9,13960,0.8,0.0,0.028,0.19
long,true,10,16032,0.8,0.0,0.028,0.187
long,true,11,17465,0.8,0.0,0.028,0.187
long,true,12,17728,0.8,0.0,0.028,0.187
long,true,13,18640,0.8,0.0,0.027,0.185
long,true,14,20724,0.8,0.0,0.025,0.187
long,true,15,22054,0.8,0.0,0.025,0.187
long,true,16,21025,0.8,0.0,0.025,0.187
long,true,17,21309,0.8,0.0,0.026,0.184
long,true,18,22093,0.8,0.0,0.028,0.184
long,true,19,21390,0.8,0.0,0.03,0.178
long,true,20,21382,1.3,0.0,0.048,0.175
long,true,21,22330,1.3,0.0,0.049,0.172
