distance_regime,is_weekend,pickup_hour,trips,median_abs_dev,p90_abs_dev,avg_dev
long,false,0,49240,1.89,6.49,-0.55
long,false,1,32974,1.61,6.09,-146.0
long,false,2,23629,1.44,4.81,0.1
long,false,3,19399,1.54,4.74,-0.02
long,false,4,21061,1.94,5.87,-0.92
long,false,5,24425,2.6,8.61,-2.23
long,false,6,34867,2.26,8.84,-1.81
long,false,7,44731,2.19,8.09,-0.23
long,false,8,44966,2.81,8.46,1.39
long,false,9,43538,2.75,8.49,-5.59
long,false,10,42525,2.5,7.95,-1263.74
long,false,11,42245,2.45,7.75,0.55
long,false,12,44582,2.47,8.01,0.27
long,false,13,48083,2.49,8.61,0.02
long,false,14,54510,2.73,9.68,0.16
long,false,15,53754,2.76,9.92,-1405.0
long,false,16,46391,2.69,9.45,-111.86
long,false,17,47000,2.8,8.93,0.44
long,false,18,51595,2.48,7.66,-30.62
long,false,19,56902,2.18,6.9,-0.48
long,false,20,65399,2.18,6.67,-3.24
long,false,21,74485,2.13,6.39,-482.75
long,false,22,75837,2.16,6.36,-905.62
long,false,23,71084,2.09,6.39,-333.68
long,true,0,35342,2.05,6.19,0.61
long,true,1,31810,1.73,5.09,-52.78
long,true,2,27397,1.56,4.57,0.49
long,true,3,23358,1.51,4.35,-0.72
long,true,4,18000,1.52,4.68,-0.19
long,true,5,11162,2.14,8.07,-1.78
long,true,6,11431,2.69,9.61,-44.45
long,true,7,11096,2.46,9.1,-2.12
long,true,8,11934,2.17,7.66,-1.58
long,true,9,14195,2.13,6.77,-1.1
long,true,10,16302,2.18,6.66,-0.83
long,true,11,17788,2.18,6.53,-0.61
long,true,12,18015,2.23,6.78,-12.27
long,true,13,18970,2.42,7.69,-264.84
long,true,14,21113,2.6,8.54,-0.73
long,true,15,22448,2.62,8.88,-700.82
long,true,16,21338,2.65,8.75,-240.19
long,true,17,21621,2.58,8.13,-0.98
long,true,18,22484,2.51,7.74,-334.53
long,true,19,21731,2.44,7.54,-2730.3
long,true,20,21734,2.32,7.41,-689.47
long,true,21,22692,2.28,7.15,-2274.11
long,true,22,26015,2.29,7.09,-6.94
long,true,23,29069,2.24,6.68,-14.93
medium,false,0,142080,1.78,5.75,-1.88
medium,false,1,94275,1.85,5.92,-2.02
medium,false,2,64966,1.86,6.09,-2.12
medium,false,3,45575,1.88,6.21,-2.25
medium,false,4,35899,2.22,6.28,-2.46
medium,false,5,46652,1.79,5.76,-2.15
medium,false,6,134399,1.37,4.79,-1.62
medium,false,7,250364,1.14,3.77,-0.46
medium,false,8,285212,1.57,4.22,0.89
medium,false,9,262036,1.73,4.79,1.24
medium,false,10,233829,1.6,4.6,1.02
medium,false,11,233276,1.59,4.59,0.99
medium,false,12,242196,1.58,4.57,0.92
medium,false,13,239776,1.49,4.16,0.75
medium,false,14,256687,1.56,4.12,0.86
medium,false,15,252342,1.48,3.92,0.78
medium,false,16,220623,1.23,3.63,0.35
medium,false,17,281179,1.22,3.63,0.33
medium,false,18,356664,1.23,3.65,0.21
medium,false,19,362779,1.14,3.71,-0.28
medium,false,20,341276,1.17,4.15,-0.8
medium,false,21,333315,1.3,4.44,-1.11
medium,false,22,313075,1.36,4.75,-1.26
medium,false,23,250152,1.4,5.12,-1.46
medium,true,0,147196,1.43,5.1,-1.32
medium,true,1,124498,1.57,5.4,-1.65
medium,true,2,98417,1.63,5.73,-1.87
medium,true,3,70841,1.84,5.88,-2.12
medium,true,4,40831,1.92,6.23,-2.31
medium,true,5,17479,2.17,6.27,-2.48
medium,true,6,19818,1.85,6.18,-2.21
medium,true,7,31089,1.4,5.49,-1.9
medium,true,8,51775,1.22,4.8,-1.52
medium,true,9,79410,1.08,4.32,-1.26
medium,true,10,102003,1.07,4.02,-1.02
medium,true,11,121378,1.07,3.75,-0.72
medium,true,12,134357,1.09,3.59,-0.44
medium,true,13,135405,1.12,3.72,-0.19
medium,true,14,129807,1.1,3.54,-0.16
medium,true,15,128673,1.09,3.34,-0.26
medium,true,16,122243,1.08,3.38,-0.39
medium,true,17,131582,1.09,3.52,-0.4
medium,true,18,145137,1.12,3.67,-0.36
medium,true,19,142265,1.28,4.08,-0.34
medium,true,20,123195,1.31,4.28,-0.67
medium,true,21,119282,1.34,4.46,-0.9
medium,true,22,125327,1.36,4.66,-1.01
medium,true,23,120581,1.39,4.8,-1.21
short,false,0,44418,0.85,2.0,-0.36
short,false,1,29351,0.88,2.0,-0.36
short,false,2,20407,0.88,2.0,-0.34
short,false,3,14782,0.85,2.0,-0.32
short,false,4,12021,0.95,2.0,-0.43
short,false,5,19292,1.0,2.0,-0.64
short,false,6,56742,0.85,1.95,-0.56
short,false,7,102148,0.75,1.75,-0.18
short,false,8,140861,0.75,2.0,0.37
short,false,9,140225,0.93,2.5,0.61
short,false,10,122453,0.85,2.25,0.51
short,false,11,123558,0.83,2.25,0.5
short,false,12,134109,0.88,2.27,0.53
short,false,13,128986,0.83,2.15,0.42
short,false,14,134932,0.78,2.05,0.42
short,false,15,130354,0.75,2.0,0.36
short,false,16,109912,0.75,2.0,0.14
short,false,17,128950,0.75,1.9,0.1
short,false,18,157730,0.75,1.9,0.12
short,false,19,156031,0.75,1.75,-0.03
short,false,20,128125,0.75,1.75,-0.23
short,false,21,112506,0.75,1.75,-0.3
short,false,22,99160,0.75,1.8,-0.31
short,false,23,78246,0.78,1.85,-0.32
short,true,0,47611,0.8,2.0,-0.12
short,true,1,38705,0.82,1.95,-0.19
short,true,2,30136,0.8,1.92,-0.22
short,true,3,21692,0.85,1.98,-0.25
short,true,4,12715,0.85,2.0,-0.3
short,true,5,5894,1.0,2.0,-0.5
short,true,6,7800,0.97,2.0,-0.61
short,true,7,13199,0.85,1.98,-0.55
short,true,8,23310,0.82,1.88,-0.5
short,true,9,36858,0.75,1.77,-0.45
short,true,10,46897,0.75,1.75,-0.38
short,true,11,54436,0.75,1.75,-0.27
short,true,12,59893,0.75,1.75,-0.15
short,true,13,59845,0.75,1.98,0.03
short,true,14,56949,0.75,1.8,-0.01
short,true,15,55805,0.75,1.75,-0.1
short,true,16,50974,0.75,1.75,-0.14
short,true,17,53192,0.75,1.75,-0.11
short,true,18,60709,0.75,1.75,-0.04
short,true,19,60521,0.77,2.0,0.09
short,true,20,49681,0.75,1.85,-0.09
short,true,21,44645,0.75,1.9,-0.16
short,true,22,43011,0.75,1.88,-0.16
short,true,23,38782,0.77,1.9,-0.17
