distance_regime,pickup_lat_bin,pickup_lon_bin,trips,p90_abs_dev,median_abs_dev
long,40.64,-73.79,37917,13.31,5.92
long,40.65,-73.78,71392,12.92,5.59
long,40.64,-73.78,64267,12.77,5.46
long,40.65,-73.79,39617,11.88,4.42
long,40.78,-73.98,20659,8.61,2.17
long,40.79,-73.97,15570,7.98,2.02
long,0.0,0.0,27412,7.55,2.26
long,40.77,-73.97,6255,7.29,2.25
long,40.78,-73.96,17254,7.24,2.01
medium,40.77,-73.87,11704,7.22,4.25
long,40.79,-73.98,9288,7.19,2.08
long,40.76,-74.0,11280,7.12,2.19
long,40.8,-73.97,11414,7.06,1.95
long,40.71,-74.02,15309,7.02,1.71
long,40.77,-73.98,27292,7.0,2.32
long,40.73,-74.01,11768,6.98,2.29
long,40.71,-74.01,48998,6.96,1.86
long,40.77,-73.99,12883,6.93,2.25
long,40.77,-73.96,26463,6.7,1.86
long,40.72,-74.01,23883,6.63,1.95
long,40.74,-74.01,17896,6.55,2.19
long,40.75,-73.99,62227,6.55,2.22
medium,40.7,-74.01,28448,6.53,2.82
long,40.76,-73.98,65443,6.51,2.32
long,40.71,-74.0,9820,6.44,1.88
long,40.72,-74.0,22417,6.44,2.35
long,40.79,-73.95,7052,6.38,1.83
long,40.74,-74.0,29949,6.33,2.3
long,40.75,-74.0,16209,6.32,2.27
long,40.7,-74.01,21711,6.31,1.77
medium,40.77,-73.93,5139,6.22,1.67
medium,40.71,-74.0,28734,6.19,2.01
medium,40.76,-73.93,6669,6.19,2.31
medium,40.71,-74.02,31583,6.04,2.04
long,40.76,-73.99,61484,6.03,2.12
long,40.74,-73.99,38770,5.91,2.23
long,40.77,-73.95,22607,5.87,1.71
long,40.78,-73.95,32249,5.82,1.79
medium,40.71,-74.01,118485,5.78,2.19
long,40.73,-74.0,35991,5.76,2.11
medium,40.7,-73.99,6960,5.7,2.09
long,40.69,-73.99,5492,5.68,1.6
long,40.76,-73.97,59798,5.63,1.88
long,40.75,-73.98,51027,5.58,1.86
medium,40.72,-73.96,10615,5.52,2.09
medium,40.74,-73.92,8628,5.51,1.99
long,40.73,-73.99,38348,5.49,2.13
medium,40.72,-74.02,9811,5.41,1.71
medium,40.8,-73.94,13174,5.36,1.4
long,40.77,-73.89,6281,5.34,1.55
medium,40.79,-73.94,13266,5.29,1.37
medium,40.69,-73.99,11786,5.28,1.88
medium,40.71,-73.99,8245,5.28,1.78
medium,40.69,-73.98,8697,5.26,2.14
medium,40.82,-73.96,5149,5.26,1.1
long,40.76,-73.96,18645,5.25,1.57
medium,40.68,-73.98,9233,5.24,1.56
medium,40.75,-73.94,11278,5.24,1.59
medium,40.72,-73.99,197555,5.22,1.66
medium,40.81,-73.94,6910,5.22,1.19
medium,40.72,-73.98,40088,5.2,1.62
long,40.74,-73.98,26942,5.19,1.86
long,40.75,-73.97,26606,5.19,1.8
medium,40.76,-73.95,12115,5.16,1.82
medium,40.74,-73.97,33021,5.12,1.57
long,40.73,-73.98,20875,5.02,1.83
long,40.72,-73.98,6895,4.98,1.83
medium,40.73,-73.98,142333,4.98,1.57
medium,40.71,-73.95,7660,4.96,1.57
medium,40.8,-73.95,11178,4.82,1.37
long,40.77,-73.87,150905,4.79,1.95
medium,40.71,-73.96,15552,4.78,1.62
medium,40.78,-73.94,9983,4.78,1.44
long,40.77,-73.86,68183,4.77,2.1
medium,40.78,-73.95,201159,4.76,1.4
long,40.72,-73.99,35694,4.75,1.82
medium,40.77,-73.95,154981,4.75,1.59
medium,40.72,-74.01,117440,4.74,1.48
medium,40.82,-73.95,5307,4.74,1.09
medium,40.77,-74.0,7327,4.73,1.57
medium,40.75,-73.97,181578,4.64,1.46
medium,40.73,-73.99,299339,4.6,1.39
medium,40.74,-73.98,240020,4.56,1.31
medium,40.76,-73.96,147579,4.46,1.39
medium,0.0,0.0,135848,4.37,1.36
medium,40.81,-73.95,8816,4.36,1.11
medium,40.76,-74.0,103851,4.33,1.38
medium,40.77,-73.99,113428,4.32,1.37
medium,40.8,-73.96,30743,4.29,1.23
medium,40.73,-74.0,258640,4.28,1.34
medium,40.76,-73.99,336932,4.28,1.34
medium,40.81,-73.96,20167,4.28,1.21
medium,40.74,-74.01,131370,4.26,1.36
medium,40.75,-73.99,476823,4.26,1.35
medium,40.74,-74.0,232746,4.25,1.33
medium,40.75,-74.01,33664,4.24,1.37
medium,40.79,-73.95,47494,4.24,1.27
medium,40.75,-74.0,136219,4.23,1.28
medium,40.8,-73.97,67574,4.22,1.09
medium,40.72,-74.0,170960,4.2,1.34
