y_true,y_pred_model0,y_pred_model1,trip_distance,pickup_hour,is_weekend,abs_err_model0,abs_err_model1
31.5,27.142517347423265,30.608835368707645,9.13,14,False,4.357482652576735,0.8911646312923551
52.0,56.626724888196314,52.0,21.33,6,False,4.626724888196314,0.0
12.5,9.790336188181413,12.161203033078039,1.95,9,False,2.7096638118185865,0.3387969669219615
8.0,7.494434781317938,8.323062143442307,1.0,11,False,0.5055652186820616,0.3230621434423071
19.0,18.24892031873106,19.156001443527654,5.45,3,False,0.7510796812689406,0.15600144352765355
11.0,10.66036198446652,10.834791218821604,2.31,22,False,0.3396380155334793,0.16520878117839644
9.5,8.799473475745598,9.583889577946563,1.54,13,False,0.7005265242544017,0.08388957794656271
8.0,8.509464876983895,8.077724373701038,1.42,18,False,0.5094648769838948,0.07772437370103802
6.5,8.485297493753754,6.639985559579311,1.41,6,False,1.9852974937537535,0.13998555957931114
5.0,7.639439080698789,4.999145680708181,1.06,1,True,2.6394390806987893,0.0008543192918191167
11.0,8.461130110523612,11.045675255418386,1.4,1,True,2.5388698894763877,0.04567525541838613
6.0,7.25276094901652,5.570859709178419,0.9,13,False,1.25276094901652,0.42914029082158134
9.5,9.742001421721131,9.607526926504866,1.93,16,False,0.24200142172113104,0.10752692650486573
7.0,6.793580667643825,6.99309265040515,0.71,9,False,0.20641933235617493,0.006907349594849954
17.0,15.421336480804465,17.84703561755797,4.28,17,True,1.5786635191955352,0.847035617557971
4.0,6.165228703660137,4.093509542132702,0.45,12,False,2.165228703660137,0.09350954213270235
5.5,7.25276094901652,5.953513270634597,0.9,11,False,1.75276094901652,0.45351327063459657
38.5,36.108616525805886,38.01413505188912,12.84,23,False,2.3913834741941145,0.4858649481108799
7.5,9.45199282295943,7.27262270292487,1.81,10,True,1.9519928229594292,0.22737729707513044
5.5,7.25276094901652,5.747221117118174,0.9,6,False,1.75276094901652,0.2472211171181744
15.5,14.98632358266191,15.912850846564856,4.1,23,False,0.5136764173380897,0.41285084656485616
9.0,8.461130110523612,9.454859040877427,1.4,15,False,0.5388698894763877,0.4548590408774267
15.0,15.6146755466456,14.869232619504668,4.36,8,False,0.6146755466456,0.13076738049533176
8.5,8.630301793134606,8.637815633508652,1.47,7,False,0.13030179313460621,0.13781563350865156
15.0,13.342941523012266,14.951889788026303,3.42,19,False,1.657058476987734,0.04811021197369669
6.0,7.615271697468648,5.755794672583181,1.05,12,False,1.615271697468648,0.244205327416819
9.0,8.94447777512645,8.67554363355513,1.6,9,True,0.05552222487355074,0.3244563664448705
8.5,9.186151607427867,8.564238327837884,1.7,16,False,0.6861516074278668,0.06423832783788441
52.0,51.23739842787469,52.0,19.1,14,False,0.7626015721253125,0.0
6.0,7.446100014857654,6.044153359304097,0.98,21,False,1.4461000148576542,0.04415335930409725
5.0,6.455237302421839,4.979406607689698,0.57,14,False,1.455237302421839,0.020593392310302328
60.0,17.789740037358364,51.8781507186469,5.26,2,True,42.210259962641636,8.1218492813531
14.5,12.327911427346308,14.49145002587282,3.0,10,False,2.172088572653692,0.008549974127179283
13.5,14.019628253456238,13.377723074523942,3.7,20,False,0.5196282534562382,0.12227692547605784
9.0,10.877868433537797,9.148182873030821,2.4,7,False,1.877868433537797,0.14818287303082123
8.5,8.702803942825032,8.615109683412992,1.5,18,False,0.20280394282503167,0.11510968341299233
15.0,13.512113205623258,14.708870598623903,3.49,18,True,1.4878867943767418,0.29112940137609655
9.0,10.877868433537797,9.407879763683166,2.4,5,False,1.877868433537797,0.4078797636831659
7.5,7.977782445920775,7.2552880073358015,1.2,23,False,0.47778244592077534,0.24471199266419852
20.5,18.75643536656404,20.309524029719842,5.66,23,False,1.743564633435959,0.19047597028015772
12.5,9.983675254022549,12.432943440297239,2.03,15,True,2.5163247459774514,0.06705655970276148
7.5,7.566936931008364,7.456302294927293,1.03,23,False,0.06693693100836384,0.04369770507270676
12.0,12.013735445354463,12.085503149016022,2.87,19,True,0.013735445354463138,0.08550314901602185
8.5,9.983675254022549,8.950080363156797,2.03,15,True,1.4836752540225486,0.4500803631567969
5.5,7.494434781317938,5.891221258136427,1.0,15,False,1.9944347813179384,0.3912212581364267
16.0,13.294606756551982,15.325939286773172,3.4,19,False,2.705393243448018,0.6740607132268277
52.0,46.88726944644915,52.0,17.3,9,False,5.112730553550847,0.0
8.5,7.977782445920775,8.987243401135197,1.2,8,False,0.5222175540792247,0.4872434011351974
8.0,8.267791044682477,8.047590760084857,1.32,17,False,0.26779104468247716,0.047590760084856853
23.5,20.955667240506948,23.634203146644808,6.57,23,False,2.5443327594930523,0.1342031466448077
4.5,6.841915434104108,4.72239893328206,0.73,9,True,2.3419154341041084,0.22239893328205973
6.0,7.494434781317938,6.230672941330259,1.0,18,False,1.4944347813179384,0.23067294133025928
9.5,11.167877032299499,9.43324681703101,2.52,23,False,1.667877032299499,0.06675318296898958
5.0,7.011087116715101,4.974070333483765,0.8,3,False,2.0110871167151014,0.02592966651623474
5.0,6.914417583794534,5.133797244508157,0.76,8,True,1.9144175837945339,0.13379724450815722
52.0,48.48231673963851,52.0,17.96,6,False,3.517683260361487,0.0
4.5,6.286065619810846,4.544014179695004,0.5,22,False,1.786065619810846,0.04401417969500443
6.0,7.3494304819370875,6.217298901670224,0.94,9,True,1.3494304819370875,0.21729890167022425
8.0,7.494434781317938,8.385264558970439,1.0,9,False,0.5055652186820616,0.3852645589704391
7.5,9.0894820745073,7.487882443944944,1.66,13,False,1.5894820745073002,0.012117556055056156
3.5,5.802717955208009,3.503029761904762,0.3,10,True,2.302717955208009,0.0030297619047621183
7.0,7.639439080698789,6.8832412205849725,1.06,11,True,0.6394390806987893,0.11675877941502755
19.5,19.747298078999854,18.9722032644643,6.07,21,True,0.24729807899985445,0.5277967355356985
10.0,7.3494304819370875,9.981313655911078,0.94,9,False,2.6505695180629125,0.018686344088921558
7.5,8.43696272729347,7.437020102813857,1.39,17,False,0.9369627272934693,0.06297989718614261
17.5,17.813907420588507,17.040672804534662,5.27,0,False,0.3139074205885066,0.4593271954653382
11.0,9.959507870792407,10.997558507926538,2.02,18,False,1.0404921292075926,0.002441492073462115
55.5,53.89581058319029,57.00009485938897,20.2,23,True,1.6041894168097102,1.5000948593889731
4.0,6.2135634701204205,4.002750686813187,0.47,12,False,2.2135634701204205,0.002750686813186576
15.5,13.65711750500411,15.490699939057324,3.55,12,False,1.8428824949958909,0.009300060942676325
15.0,11.119542265839215,14.23411868923131,2.5,10,False,3.8804577341607853,0.7658813107686893
12.0,12.593752642877867,11.730999762524627,3.11,22,False,0.5937526428778668,0.2690002374753728
